first_competitor,second_competitor,category_id,match_id,winner,description
1800232,1800051,27588856,42884094,1800232,1/4 F
1800113,1800013,77592887,42886919,1800013,1/4 F
1800200,1700177,22833525,42887841,1700177,Finał I-II
"",1700008,42229029,42894495,"",Repasaż 1
1800008,1500279,91178080,42894983,1500279,Runda 1
1900175,1900235,68652617,42897879,1900235,Repasaż 1
1700131,1700512,74826988,42906350,1700512,Runda 3
1500950,1500419,75389245,42906572,1500950,Runda 4
1500326,1600085,58065876,42908785,1500326,Runda 3
1500003,1500162,55777869,42909018,1500003,Runda 1
1500215,1500213,44850558,42913371,1500215,Finał III-V
1600267,1500391,2430748,42915927,1500391,Runda 2
1700086,1600377,38900328,42918417,1600377,Runda 3
1600058,1600038,84706134,42921964,1600058,Runda 1
1500861,1700146,31376539,42922417,1500861,1/2 F
1900102,1800348,5845753,42925094,1800348,Runda 3
1700083,1800106,87952106,42927960,1700083,Eliminacje
2000099,1900321,90745724,42944857,2000099,1/2 F
1600284,1500412,84413057,42951485,1500412,1/4 F
1500309,1500947,55001171,42952045,1500947,Runda 1
1800383,1500408,50688381,42953160,1500408,Runda 2
1500401,1500426,91537656,42956501,1500426,Runda 1
1700023,1500342,25321920,42963780,1500342,Runda 3
2000062,1500163,2789810,42965133,1500163,Runda 3
2000229,2000002,39571540,42970203,2000002,Runda 2
1600480,1500353,53294265,42970901,1500353,1/4 F
1500426,1800017,73612420,42981210,1800017,Runda 1
1600495,1500845,68076709,42983034,1500845,Runda 5
1500142,1500093,98519301,42983319,1500093,1/4 F
1800211,1800200,22833525,42991556,1800200,Runda 1
1800342,1600368,53288209,42993437,1600368,Runda 1
1900102,1700167,79282850,42994615,1700167,Runda 3
1500510,1500459,69469662,42997310,1500459,Repasaż 2
1500275,1600025,50548384,42998228,1600025,Runda 2
1600167,1500449,58571159,43002740,1600167,Runda 3
1900238,1800366,11048102,43003991,1900238,Finał I-II
1500066,1500342,54597377,43008238,1500342,Finał I-II
1700385,1800194,47368247,43009722,1700385,Runda 2
1900319,1900382,53919150,43011636,1900319,Runda 5
2000020,2000078,79107914,43014352,2000078,Repasaż F
1800237,1700026,33138573,43015954,1700026,Finał I-II
1500093,1500424,61866354,43018757,1500093,Runda 5
1600100,1700112,94557021,43019183,1600100,Repasaż F
1700543,1900212,88444438,43019192,1900212,Repasaż 2
1700230,1700146,32323784,43019464,1700146,Runda 3
1700003,1500095,47799213,43020975,1500095,Repasaż 1
1800392,1800364,55053324,43021382,1800392,Finał I-II
1700510,1600503,65518744,43022785,1600503,Eliminacje
1500268,1500216,65430353,43027584,1500216,Repasaż 2
1500237,1700015,32286601,43031288,1700015,Runda 2
1500160,1700117,91881422,43031599,1500160,1/2 F
1800226,1700321,8494849,43046513,1800226,Repasaż 2
1600326,1600561,65438664,43046644,1600326,1/2 F
1500586,1500007,31128538,43046996,1500586,Finał I-II
1500720,1600226,57997746,43050653,1500720,Runda 3
1800096,1800019,59183838,43056999,1800019,1/4 F
1500682,1500104,20317795,43058438,1500682,Runda 2
1900156,1900207,44543891,43062251,1900156,Runda 5
1500401,1500408,66606640,43063696,1500401,Runda 2
1800019,1700253,71872350,43064944,1800019,Runda 5
2100210,2100212,51554989,43065682,2100210,Repasaż F
1600409,1500957,81756714,43066130,1600409,Finał III-V
1800015,1500410,28360278,43066697,1500410,1/4 F
1600372,1700153,11001463,43069614,1600372,1/2 F
1500327,1501061,86679248,43071545,1500327,Runda 5
